row,col,fld,dna,edu,crypt,paneth,singlelgr5,stem,notes,done
D,4,0,x,,,,,,overseg,
D,4,1,x,,,,,,overseg,
D,4,6,x,,,,,,overseg,
D,4,11,x,,,,,,overseg,
D,4,17,x,,,,,,overseg,
D,5,1,x,,,,,,overseg,
D,5,12,x,,,,,,overseg,
D,8,0,x,,,,,,overseg,
D,8,1,x,,,,,,overseg,
D,8,12,x,,,,,,overseg,
D,8,19,x,,,,,,overseg,
D,8,22,x,,,,,,overseg,
D,8,23,x,,,,,,overseg,
E,2,1,x,,,,,,overseg,
E,2,6,x,,,,,,overseg,
E,2,11,x,,,,,,overseg,
E,4,0,x,,,,,,overseg,
E,4,1,x,,,,,,overseg,
E,4,6,x,,,,,,overseg,
E,4,7,x,,x,,,,"overseg, debris",
E,8,0,x,,,,,,overseg,
F,10,2,x,x,,,,,"underseg, debris",